Jõe	jõgi	jõgi	0		S	sg g
   	£Jõe	Jõe	0		H	sg g
Mattise	####	####				
       	#Mattise	Mattis	0		H	sg g
naene	####	####				
     	#naine	naine	0		S	sg n
Anno	####	####				
    	#Anu	Anno	0		H	sg n
Tripan	####	####				
      	#Tripan	Tripan	0		H	sg n
tulli	tull	tull	0		S	adt
     	tull	tull	0		S	sg g
     	tull	tull	0		S	sg p
     	@tuli	tule	i		V	s
     	tuli	tuli	0		S	sg n
Kohto	####	####				
     	kohtu	kohtu	0		V	o
     	#kohtu	kohus	0		S	sg g
ette	esi	esi	tte		S	adt
    	@ette	ette	0		D	
    	ette	ette	0		K	
ja	ja	ja	0		J	
temma	####	####				
     	#tema	tema	0		P	sg g
     	tema	tema	0		P	sg n
wastased	vastane	vastane	d		A	pl n
        	@vastased	vastane	d		S	pl n
Jaak	@Jaak	Jaak	0		H	sg n
    	jaak	jaak	0		S	sg n
Jeng	####	####				
    	#Jeng	Jeng	0		H	sg n
Jürri	####	####				
     	#Jüri	Jürri	0		H	sg n
,	,	,			Z	
Mihkel	@Mihkel	Mihkel	0		H	sg n
      	mihkel	mihkel	0		A	sg n
      	mihkel	mihkel	0		S	sg n
,	,	,			Z	
Peter	Peter	Peter	0		H	sg n
     	£Peeter	Peter	0		H	sg n
ja	ja	ja	0		J	
Mina	mina	mina	0		P	sg n
    	mina	mina	0		S	sg g
    	mina	mina	0		S	sg n
    	mina	mina	0		S	sg p
    	£Miina	Mina	0		H	sg n
Jeng	####	####				
    	#Jeng	Jeng	0		H	sg n
,	,	,			Z	
nemmad	####	####				
      	#nemad	tema	d		P	pl n
ütlesid	ütlesid	ütle	sid		V	sid
et	et	et	0		J	
nende	see	see	de		P	pl g
     	@nende	tema	de		P	pl g
issa	####	####				
    	isa	isa	0		S	sg n
    	#isa	isa	0		S	sg g
    	isa	isa	0		S	sg p
ja	ja	ja	0		J	
emma	####	####				
    	#ema	ema	0		S	sg g
warra	####	####				
     	#vara	vara	0		S	sg g
keik	####	####				
    	kõik	kõik	0		P	pl n
    	#kõik	kõik	0		P	sg n
Anno	####	####				
    	#Anu	Anno	0		H	sg g
ja	ja	ja	0		J	
temma	####	####				
     	#tema	tema	0		P	sg g
     	tema	tema	0		P	sg n
mehhe	####	####				
     	#mehe	mees	0		S	sg g
jures	####	####				
     	juures	juur	s		S	sg in
     	juures	juures	0		D	
     	#juures	juures	0		K	
selle	@selle	see	0		P	sg g
     	sell	sell	e		S	pl p
puma	####	####				
    	#talukoht	puu_maa	0		S	sg g
peal	peal	peal	0		D	
    	@peal	peal	0		K	
    	pea	pea	l		S	sg ad
Anno	####	####				
    	#Anu	Anno	0		H	sg n
ütles	ütles	ütle	s		V	s
et	et	et	0		J	
ta	tema	tema	0		P	sg g
  	@ta	tema	0		P	sg n
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
wannemad	vann_ema	vann_ema	d		S	pl n
        	£vanemad	vanem	d		S	pl n
toitand	toit_and	toit_and	0		S	sg n
       	£toitnud	toit	nd		V	nud
ja	ja	ja	0		J	
mattand	matt_and	matt_and	0		S	sg n
       	£matnud	mat	nd		V	nud
selle	@selle	see	0		P	sg g
     	sell	sell	e		S	pl p
peale	peale	peale	0		D	
     	@peale	peale	0		K	
     	pea	pea	le		S	sg all
arwas	arvas	arva	s		V	s
Kohhus	####	####				
