Sest	see	see	st		P	sg el
    	@sest	sest	0		J	
et	et	et	0		J	
mõisawallitsus	####	####				
              	#mõisavalitsus	mõisa_valitsus	0		S	sg n
,	,	,			Z	
nimitma	####	####				
       	¤					
selle	@selle	see	0		P	sg g
     	sell	sell	e		S	pl p
walla	vald	vald	0		S	sg g
     	valla	valla	0		D	
     	@valla	vald	0		S	sg g
rahwa	rahva	rahvas	0		S	sg g
suust	suust	suu	st		S	sg el
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
kuulda	@kuulda	kuul	da		V	da
      	kuul	kuul	da		V	ta
sanu	####	####				
    	#saanud	saa	nu		V	nud
,	,	,			Z	
et	et	et	0		J	
need	need	see	d		P	pl n
hoone	@hoone	hoone	0		S	sg g
     	hoone	hoone	0		S	sg n
palkid	####	####				
      	#palgid	palk	d		S	pl n
mis	mis	mis	0		P	pl n
   	@mis	mis	0		P	sg n
Poaksime	####	####				
         	#Paaksima	Poaksima	0		H	sg g
Anton	Anton	Anton	0		H	sg n
Maritselt	####	####				
         	#Maaritsalt	Maritse	lt		H	sg abl
Poeksima	####	####				
     	#viinud	vii	nut		V	nud
winut	####	####				
     	#viinud	vii	nut		V	nud
,	,	,			Z	
nisamma	####	####				
       	#niisama	nii_sama	0		D	
ka	ka	ka	0		D	
keik	####	####				
    	kõik	kõik	0		P	pl n
    	#kõik	kõik	0		P	sg n
need	need	see	d		P	pl n
Aijapud	####	####				
       	#aiapuud	aia_puu	d		S	pl n
mis	mis	mis	0		P	pl n
   	@mis	mis	0		P	sg n
nüd	####	####				
   	#nüüd	nüüd	0		D	
poaksima	####	####				
        	#Paaksima	Poaksima	0		H	sg g
kohha	####	####				
      	#koha	koht	0		S	sg g
peal	peal	peal	0		D	
    	@peal	peal	0		K	
    	pea	pea	l		S	sg ad
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
mitte	mitte	mitte	0		D	
ni	####	####				
  	#nii	nii	0		D	
,	,	,			Z	
kui	kui	kui	0		D	
   	@kui	kui	0		J	
Anton	Anton	Anton	0		H	sg n
ja	ja	ja	0		J	
temma	####	####				
     	#tema	tema	0		P	sg g
     	tema	tema	0		P	sg n
tunnistusse	tunnistus	tunnistus	se		S	adt
           	£tunnistuse	tuunistus	0		S	sg g
mehhet	####	####				
      	#mehed	mees	t		S	pl n
sedda	####	####				
     	#seda	see	da		P	sg p
sel	@sel	see	l		P	sg ad
   	sel	sel	0		Y	?
7tes	####	####				
    	#7ndal	7=s	0		O	sg n
Junil	####	####				
     	#juunil	juuni	l		S	sg ad
sel	@sel	see	l		P	sg ad
   	sel	sel	0		Y	?
aastal	aastal	aasta	l		S	sg ad
kihhelkonna	####	####				
           	#kihelkonna	kihelkond	0		S	sg g
kohtu	kohtu	kohtu	0		V	o
     	@kohtu	kohus	0		S	sg g
ees	ees	ees	0		D	
   	@ees	ees	0		K	
   	esi	esi	s		S	sg in
tunnistanu	tunnista=nu	tunnista=nu	0		S	sg g
          	tunnista=nu	tunnista=nu	0		S	sg n
          	@tunnistanud	tunnista	nu		V	nud
ostet	####	####				
     	#ostetud	ost	t		V	tud
.	.	.			Z	
ja	ja	ja	0		J	
ostan	ost	ost	n		V	n
     	£ostnud	ost	n		V	nud
ei	ei	ei	0		D	
  	@ei	ei	0		V	neg
olle	####	####				
    	#ole	ole	0		V	o
,	,	,			Z	
antis	####	####				
     	#andis	and	is		V	s
moisa	####	####				
     	#mõisa	mõis	0		S	sg g
wallitsus	####	####				
         	#valitsus	valitsus	0		S	sg n
selle	@selle	see	0		P	sg g
     	sell	sell	e		S	pl p
koggokonnakohtule	####	####				
                 	#kogukonnakohtule	kogukonna_kohus	le		S	sg all
kaesku	####	####				
      	#käsku	käsk	0		S	sg p
üllemal	####	####				
       	#üleval	üleval	0		D	
nimmetud	nimme=tu	nimme=tu	d		A	pl n
        	@nimetatud	nimeta	tud		V	tud
asja	asi	asi	0		S	adt
    	@asja	asi	0		S	sg g
    	asi	asi	0		S	sg p
parraminne	####	####				
          	#paremini	paremini	0		D	
järrele	####	####				
       	#järele	järele	0		D	
       	järele	järele	0		K	
kulada	####	####				
      	#kuulata	kuula	da		V	da
.	.	.			Z	
Selleperrast	####	####				
            	#sellepärast	selle_pärast	0		D	
kutsus	kutsu	kutsu	s		S	sg in
      	@kutsus	kutsu	s		V	s
se	####	####				
  	#see	see	0		P	sg n
koggokonna	####	####				
          	#kogukonna	kogukond	0		S	sg g
kohhus	####	####				
      	kohus	kohu	s		V	s
      	#kohus	kohus	0		S	sg n
wanna	####	####				
     	#vana	vana	0		A	sg n
     	vana	vana	0		A	sg g
     	vana	vana	0		A	sg p
     	vana	vana	0		S	sg n
     	vana	vana	0		S	sg g
     	vana	vana	0		S	sg p
Ma	mina	mina	0		P	sg n
  	¤					
tse	####	####				
  	¤					
Jürri	####	####				
     	#Jüri	Jürri	0		H	sg n
Luik	luik	luik	0		S	sg n
    	£Luik	Luik	0		H	sg n
,	,	,			Z	
sest	see	see	st		P	sg el
    	@sest	sest	0		J	
et	et	et	0		J	
temma	####	####				
     	#tema	tema	0		P	sg g
     	tema	tema	0		P	sg n
ma	mina	mina	0		P	sg n
  	£maa	maa	0		S	sg g
peale	peale	peale	0		D	
     	@peale	peale	0		K	
     	pea	pea	le		S	sg all
nee	####	####				
   	#need	see	0		P	pl n
nimmetud	nimme=tu	nimme=tu	d		A	pl n
        	@nimetatud	nimeta	tud		V	tud
Aijad	####	####				
     	#aiad	aed	d		S	pl n
ja	ja	ja	0		J	
honed	####	####				
     	#hooned	hoone	d		S	pl n
essiotsast	####	####				
          	#algul	esiotsa	0		D	
tehtud	@tehtud	tege	tud		V	tud
      	tehtud	tehtud	0		A	
      	tehtud	tehtud	0		A	sg n
      	tehtu	tehtu	d		S	pl n
      	tehtud	tehtud	d		A	pl n
ollid	####	####				
     	#olid	ole	id		V	sid
,	,	,			Z	
ja	ja	ja	0		J	
kostis	@kostis	kost	is		V	s
      	kost	kost	s		S	sg in
Jürri	####	####				
     	#Jüri	Jürri	0		H	sg n
Luik	luik	luik	0		S	sg n
    	£Luik	Luik	0		H	sg n
kussimiste	####	####				
          	#küsimiste	küsimine	te		S	pl g
peale	peale	peale	0		D	
     	@peale	peale	0		K	
     	pea	pea	le		S	sg all
:	:	:			Z	
et	et	et	0		J	
keik	####	####				
    	kõik	kõik	0		P	pl n
    	#kõik	kõik	0		P	sg n
need	need	see	d		P	pl n
honete	####	####				
      	#hoonete	hoone	te		S	pl g
palkit	####	####				
      	#palgid	palk	t		S	pl n
,	,	,			Z	
roikat	####	####				
      	#roikad	roigas	t		S	pl n
,	,	,			Z	
lattid	####	####				
      	#latid	latt	d		S	pl n
ja	ja	ja	0		J	
puud	puud	puud	0		S	sg n
    	@puud	puu	d		S	pl n
    	puu	puu	d		S	sg p
Maritse	####	####				
       	#Maaritsa	Maritse	0		H	sg g
mõtsast	####	####				
       	#metsast	mets	st		S	sg el
raijotud	####	####				
        	#raiutud	raiu	tud		V	tud
,	,	,			Z	
ja	ja	ja	0		J	
aijapuid	####	####				
        	#aiapuid	aia_puu	id		S	pl p
paljo	####	####				
     	#palju	palju	0		D	
ennam	####	####				
     	enam	enam	0		C	sg n
     	#enam	enam	0		D	
Maritsest	####	####				
         	#Maaritsast	Maritse	st		H	sg el
poaksimale	####	####				
          	#Paaksimale	Poaksima	le		H	sg all
witud	vitt	vitt	d		S	pl n
     	£viidud	vii	tud		V	tud
.	.	.			Z	
Keik	####	####				
    	#kõik	kõik	0		P	sg n
neid	neid	neid	0		S	sg n
    	@neid	see	d		P	pl p
    	tema	tema	d		P	pl p
nüd	####	####				
   	#nüüd	nüüd	0		D	
seal	@seal	seal	0		D	
    	siga	siga	l		A	sg ad
    	siga	siga	l		S	sg ad
leida	leida	leid	a		V	da
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
.	.	.			Z	
Selle	@selle	see	0		P	sg g
     	sell	sell	e		S	pl p
peal	peal	peal	0		D	
    	@peal	peal	0		K	
    	pea	pea	l		S	sg ad
kutsus	kutsu	kutsu	s		S	sg in
      	@kutsus	kutsu	s		V	s
kohhus	####	####				
      	kohus	kohu	s		V	s
      	#kohus	kohus	0		S	sg n
poaksima	####	####				
        	#Paaksima	Poaksima	0		H	sg g
Antoni	Antoni	Anton	0		H	sg g
ette	esi	esi	tte		S	adt
    	@ette	ette	0		D	
    	ette	ette	0		K	
,	,	,			Z	
ja	ja	ja	0		J	
lugges	####	####				
      	#luges	luge	s		V	s
sedda	####	####				
     	#seda	see	da		P	sg p
mis	mis	mis	0		P	pl n
   	@mis	mis	0		P	sg n
Jürri	####	####				
     	#Jüri	Jürri	0		H	sg n
Luik	luik	luik	0		S	sg n
    	£Luik	Luik	0		H	sg n
tunnistanu	tunnista=nu	tunnista=nu	0		S	sg g
          	tunnista=nu	tunnista=nu	0		S	sg n
          	@tunnistanud	tunnista	nu		V	nud
temmale	####	####				
       	#temale	tema	le		P	sg all
ette	esi	esi	tte		S	adt
    	@ette	ette	0		D	
    	ette	ette	0		K	
,	,	,			Z	
ja	ja	ja	0		J	
ei	ei	ei	0		D	
  	@ei	ei	0		V	neg
woinud	####	####				
      	#võinud	või	nud		V	nud
Anton	Anton	Anton	0		H	sg n
ühteki	####	####				
      	#ühtegi	ühtegi	0		D	
selle	@selle	see	0		P	sg g
     	sell	sell	e		S	pl p
wasto	####	####				
     	vastu	vastu	0		D	
     	#vastu	vastu	0		K	
toeks	tugi	tugi	ks		S	sg tr
     	£tõeks	tõde	ks		S	sg tr
tehha	####	####				
     	#teha	tege	a		V	da
,	,	,			Z	
et	et	et	0		J	
temma	####	####				
     	tema	tema	0		P	sg g
     	#tema	tema	0		P	sg n
middaki	####	####				
       	#midagi	miski	ddaki		P	sg p
puije	####	####				
     	#puude	puu	ije		S	pl g
,	,	,			Z	
palkite	####	####				
       	#palkide	palk	te		S	pl g
ja	ja	ja	0		J	
lattidest	lattidest	latt	dest		S	pl el
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
ostnu	ost=nu	ost=nu	0		S	sg g
     	ost=nu	ost=nu	0		S	sg n
     	@ostnud	ost	nu		V	nud
.	.	.			Z	
Sest	see	see	st		P	sg el
    	@sest	sest	0		J	
,	,	,			Z	
et	et	et	0		J	
Poaksima	####	####				
        	#Paaksima	Poaksima	0		H	sg g
Anton	Anton	Anton	0		H	sg n
Karro	####	####				
     	#Karu	Karro	0		H	sg n
omma	####	####				
    	#oma	oma	0		P	sg g
    	on	ole	0		V	vad
Nääla	####	####				
     	#näälu	nääl	0		S	sg g
(	(	(			Z	
Naesewend	####	####				
         	#naisevend	naise_vend	0		S	sg n
)	)	)			Z	
kelle	@kelle	kes	0		P	pl g
     	kes	kes	0		P	sg g
warra	####	####				
     	#vara	vara	0		S	sg n
ja	ja	ja	0		J	
warrandus	####	####				
         	#varandus	varandus	0		S	sg n
selleperrast	####	####				
            	#sellepärast	selle_pärast	0		D	
,	,	,			Z	
et	et	et	0		J	
se	####	####				
  	#see	see	0		P	sg n
Nääl	nääl	nääl	0		S	sg n
Jaan	@Jaan	Jaan	0		H	sg n
    	jaan	jaan	0		S	sg n
    	jaan	jaan	0		Y	?
Willo	####	####				
     	#Vilu	Willo	0		H	sg n
nörgameelega	####	####				
             	#nõrga_meelega	nõrga_meel	ga		S	sg kom
selle	@selle	see	0		P	sg g
     	sell	sell	e		S	pl p
Jaan	@Jaan	Jaan	0		H	sg n
    	jaan	jaan	0		S	sg n
    	jaan	jaan	0		Y	?
Willo	####	####				
     	#Vilu	Willo	0		H	sg g
wannemist	vann_emis	vann_emis	t		S	sg p
         	£vanematest	vanem	ist		S	pl el
Anton	Anton	Anton	0		H	sg n
Karro	####	####				
     	#Karu	Karro	0		H	sg g
kätte	käsi	käsi	tte		S	adt
     	@kätte	kätte	0		K	
ja	ja	ja	0		J	
holeks	####	####				
      	#hooleks	hool	ks		S	sg tr
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
antud	an=tu	an=tu	d		S	pl n
     	@antud	and	tud		V	tud
     	antud	antud	0		A	
     	antud	antud	0		A	sg n
     	antud	antud	d		A	pl n
ja	ja	ja	0		J	
ussutud	####	####				
       	#usutud	usku	tud		V	tud
,	,	,			Z	
selle	@selle	see	0		P	sg g
     	sell	sell	e		S	pl p
lodussega	####	####				
         	#lootusega	lootus	ga		S	sg kom
et	et	et	0		J	
Anton	Anton	Anton	0		H	sg n
Karro	####	####				
     	#Karu	Karro	0		H	sg n
omma	####	####				
    	#oma	oma	0		P	sg g
    	on	ole	0		V	vad
Abbikasa	####	####				
        	#abikaasa	abi_kaasa	0		S	sg g
wenda	vend	vend	0		S	adt
     	@venda	vend	0		S	sg p
Keige	####	####				
     	#kõige	kõik	0		P	sg g
omma	####	####				
    	#oma	oma	0		P	sg g
    	on	ole	0		V	vad
elloaja	####	####				
       	#eluaja	elu_aeg	0		S	sg g
peab	peab	pida	b		V	b
korristama	####	####				
          	#koristama	korista	ma		V	ma
,	,	,			Z	
johhatama	####	####				
          	#juhatama	juhata	ma		V	ma
,	,	,			Z	
ja	ja	ja	0		J	
toidusse	toit	toit	sse		S	sg ill
        	£toitude	toit	sse		S	pl g
ja	ja	ja	0		J	
katte	@katte	kate	0		S	sg g
     	katt	katt	e		S	pl p
     	kätte	käsi	tte		S	adt
     	kätte	kätte	0		K	
     	kätte	kätte	0		D	
eest	eest	eest	0		D	
    	@eest	eest	0		K	
    	esi	esi	st		S	sg el
hoold	####	####				
     	#hoolt	hool	d		S	sg p
kandma	kandma	kand	ma		V	ma
nüüd	nüüd	nüüd	0		D	
ennesse	####	####				
       	#enese	ise	0		P	sg g
jurest	####	####				
      	#juurest	juurest	0		K	
ärra	####	####				
    	#ära	ära	0		D	
    	ära	ära	0		V	neg o
aijanu	####	####				
      	#ajanud	aja	nu		V	nud
,	,	,			Z	
kutsus	kutsu	kutsu	s		S	sg in
      	@kutsus	kutsu	s		V	s
kohhus	####	####				
      	kohus	kohu	s		V	s
      	#kohus	kohus	0		S	sg n
Anton	Anton	Anton	0		H	sg n
Karro	####	####				
     	#Karu	Karro	0		H	sg n
ette	esi	esi	tte		S	adt
    	@ette	ette	0		D	
    	ette	ette	0		K	
ja	ja	ja	0		J	
kostis	@kostis	kost	is		V	s
      	kost	kost	s		S	sg in
temma	####	####				
     	tema	tema	0		P	sg g
     	#tema	tema	0		P	sg n
küssimeste	####	####				
          	#küsimiste	küsimine	te		S	pl g
ja	ja	ja	0		J	
Nomiste	####	####				
       	#noomimiste	noomimine	te		S	pl g
peale	peale	peale	0		D	
     	@peale	peale	0		K	
     	pea	pea	le		S	sg all
et	et	et	0		J	
temma	####	####				
     	tema	tema	0		P	sg g
     	#tema	tema	0		P	sg n
midaki	####	####				
      	#midagi	miski	dagi		P	sg p
omma	####	####				
    	#oma	oma	0		P	sg g
    	on	ole	0		V	vad
Äija	####	####				
    	#äia	äi	0		S	sg g
ja	ja	ja	0		J	
Ämma	ämm	ämm	0		S	adt
    	@ämma	ämm	0		S	sg g
    	ämm	ämm	0		S	sg p
warrandusest	####	####				
            	#varandusest	varandus	st		S	sg el
ei	ei	ei	0		D	
  	@ei	ei	0		V	neg
olle	####	####				
    	#ole	ole	0		V	o
sanud	####	####				
     	#saanud	saa	nud		V	nud
ja	ja	ja	0		J	
et	et	et	0		J	
temma	####	####				
     	#tema	tema	0		P	sg g
     	tema	tema	0		P	sg n
Abbikasa	####	####				
        	#abikaasa	abi_kaasa	0		S	sg g
wannemil	####	####				
        	#vanematel	vanem	il		S	pl ad
middaki	####	####				
       	#midagi	miski	ddaki		P	sg p
ei	ei	ei	0		D	
  	@ei	ei	0		V	neg
olla	olla	ole	a		V	da
olnud	ol=nud	ol=nud	0		A	
     	ol=nud	ol=nud	0		A	sg n
     	ol=nud	ol=nud	d		A	pl n
     	@olnud	ole	nud		V	nud
     	olnu	olnu	d		S	pl n
,	,	,			Z	
ja	ja	ja	0		J	
selle	@selle	see	0		P	sg g
     	sell	sell	e		S	pl p
perast	####	####				
      	#pärast	pärast	0		K	
      	pärast	pärast	0		D	
temma	####	####				
     	tema	tema	0		P	sg g
     	#tema	tema	0		P	sg n
omma	####	####				
    	#oma	oma	0		P	sg g
    	on	ole	0		V	vad
Nääla	####	####				
     	#näälu	nääl	0		S	sg g
Jaan	@Jaan	Jaan	0		H	sg n
    	jaan	jaan	0		S	sg n
    	jaan	jaan	0		Y	?
Willo	####	####				
     	#Vilu	Willo	0		H	sg p
ei	ei	ei	0		D	
  	@ei	ei	0		V	neg
pruki	####	####				
     	#pruugi	pruuki	0		V	o
omma	####	####				
    	#oma	oma	0		P	sg g
    	on	ole	0		V	vad
holekandmisse	####	####				
             	#hoolekandmise	hoole_kandmine	0		S	sg g
al	####	####				
  	#all	all	0		K	
  	all	all	0		D	
piddata	####	####				
       	#pidada	pida	ta		V	da
.	.	.			Z	
Sest	see	see	st		P	sg el
    	@sest	sest	0		J	
et	et	et	0		J	
selle	@selle	see	0		P	sg g
     	sell	sell	e		S	pl p
Jaan	@Jaan	Jaan	0		H	sg n
    	jaan	jaan	0		S	sg n
    	jaan	jaan	0		Y	?
Willo	####	####				
     	#Vilu	Willo	0		H	sg g
wannemad	vann_ema	vann_ema	d		S	pl n
        	£vanemad	vanem	d		S	pl n
Maritse	####	####				
       	#Maaritsa	Maritse	0		H	sg g
Jürri	####	####				
     	Jüri	Jürri	0		H	sg n
     	#Jüri	Jürri	0		H	sg g
jures	####	####				
     	juures	juur	s		S	sg in
     	juures	juures	0		D	
     	#juures	juures	0		K	
,	,	,			Z	
temma	####	####				
     	#tema	tema	0		P	sg g
     	tema	tema	0		P	sg n
Öuwe	####	####				
    	#õue	õu	0		S	sg g
,	,	,			Z	
maade	maade	maa	de		S	pl g
ja	ja	ja	0		J	
tallus	tallus	tallus	0		S	sg n
      	£talus	talu	s		S	sg in
elanu	ela=nu	ela=nu	0		S	sg g
     	ela=nu	ela=nu	0		S	sg n
     	£elanud	ela	nu		V	nud
,	,	,			Z	
Kutsus	kutsu	kutsu	s		S	sg in
      	@kutsus	kutsu	s		V	s
Kohhus	####	####				
      	kohus	kohu	s		V	s
      	#kohus	kohus	0		S	sg n
Maritse	####	####				
       	#Maaritsa	Maritse	0		H	sg g
Jürri	####	####				
     	#Jüri	Jürri	0		H	sg n
Luik	luik	luik	0		S	sg n
    	£Luik	Luik	0		H	sg n
ette	esi	esi	tte		S	adt
    	@ette	ette	0		D	
    	ette	ette	0		K	
,	,	,			Z	
et	et	et	0		J	
temma	####	####				
     	tema	tema	0		P	sg g
     	#tema	tema	0		P	sg n
kaest	kae	kae	st		S	sg el
     	käest	käsi	st		S	sg el
     	@käest	käest	0		K	
kuulda	@kuulda	kuul	da		V	da
      	kuul	kuul	da		V	ta
,	,	,			Z	
et	et	et	0		J	
temma	####	####				
     	tema	tema	0		P	sg g
     	#tema	tema	0		P	sg n
kaest	kae	kae	st		S	sg el
     	käest	käsi	st		S	sg el
     	@käest	käest	0		K	
kuulda	@kuulda	kuul	da		V	da
      	kuul	kuul	da		V	ta
,	,	,			Z	
kas	kas	kas	0		D	
ja	ja	ja	0		J	
kui	@kui	kui	0		D	
   	kui	kui	0		J	
paljo	####	####				
     	#palju	palju	0		D	
Jaan	@Jaan	Jaan	0		H	sg n
    	jaan	jaan	0		S	sg n
    	jaan	jaan	0		Y	?
Willo	####	####				
     	#Vilu	Willo	0		H	sg g
wannemil	####	####				
        	#vanematel	vanem	il		S	pl ad
warrandust	varr_and_uks	varr_and_uks	t		S	sg p
          	£varandust	varandus	t		S	sg p
olnu	olnu	olnu	0		S	sg g
    	olnu	olnu	0		S	sg n
    	@olnud	ole	nu		V	nud
;	;	;			Z	
kostis	@kostis	kost	is		V	s
      	kost	kost	s		S	sg in
Jürri	####	####				
     	#Jüri	Jürri	0		H	sg n
Luik	luik	luik	0		S	sg n
    	£Luik	Luik	0		H	sg n
kussimiste	####	####				
          	#küsimiste	küsimine	te		S	pl g
peale	peale	peale	0		D	
     	@peale	peale	0		K	
     	pea	pea	le		S	sg all
,	,	,			Z	
et	et	et	0		J	
Jaan	@Jaan	Jaan	0		H	sg n
    	jaan	jaan	0		S	sg n
    	jaan	jaan	0		Y	?
Willo	####	####				
     	#Vilu	Willo	0		H	sg g
wanemitel	####	####				
         	#vanematel	vanem	itel		S	pl ad
siis	@siis	siis	0		D	
    	siis	siis	0		J	
kui	kui	kui	0		D	
   	@kui	kui	0		J	
Maritselt	####	####				
         	#Maaritsalt	Maritse	lt		H	sg abl
Poaksimalle	####	####				
           	#Paaksimale	Poaksima	lle		H	sg all
lännu	####	####				
     	#läinud	mine	nu		V	nud
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
olnu	olnu	olnu	0		S	sg g
    	olnu	olnu	0		S	sg n
    	@olnud	ole	nu		V	nud
3	3	3	0		N	?
head	hea	hea	d		A	pl n
    	hea	hea	d		A	sg p
    	hea	hea	d		S	pl n
    	@head	hea	d		S	sg p
Lehma	lehm	lehm	0		S	adt
     	lehm	lehm	0		S	sg g
     	@lehma	lehm	0		S	sg p
2	2	2	0		N	?
Hobbost	####	####				
       	#hobust	hobune	t		S	sg p
5	5	5	0		N	?
woi	####	####				
   	või	või	0		S	sg n
   	või	või	0		S	sg g
   	#või	või	0		J	
   	või	või	0		D	
   	või	või	0		V	o
kuus	@kuus	kuus	0		N	sg n
    	kuu	kuu	s		S	sg in
lammast	lammast	lammas	t		S	sg p
2	2	2	0		N	?
Mullikat	mullikat	mullikas	t		S	sg p
2	2	2	0		N	?
Sigga	####	####				
     	#siga	siga	0		S	sg p
ja	ja	ja	0		J	
ülle	ülle	ülle	0		D	
    	üle	üle	0		D	
