Sauga	@Sauga	Sauga	0		H	sg g
     	Sauga	Sauga	0		H	sg n
Koggokonna	####	####				
          	#kogukonna	kogukond	0		S	sg g
Kohus	@kohus	kohus	0		S	sg n
     	kohu	kohu	s		V	s
1.	1.	1.	0		O	?
Metsa	mets	mets	0		S	adt
     	@metsa	mets	0		S	sg g
     	mets	mets	0		S	sg p
Herra	####	####				
     	#härra	härra	0		S	sg n
     	härra	härra	0		S	sg g
Daksel	####	####				
      	#Daksel	Daksel	0		H	sg n
olli	####	####				
    	#oli	ole	i		V	s
omma	####	####				
    	#oma	oma	0		P	sg g
    	on	ole	0		V	vad
wõlgo	####	####				
     	#võlgu	võlgu	0		D	
jänud	####	####				
     	#jäänud	jää	nud		V	nud
rentnikutega	####	####				
            	#rentnikutega	rentnik	tega		S	pl kom
Kohto	####	####				
     	kohtu	kohtu	0		V	o
     	#kohtu	kohus	0		S	sg g
ees	ees	ees	0		D	
   	@ees	ees	0		K	
   	esi	esi	s		S	sg in
Koli	koli	koli	0		S	sg g
    	koli	koli	0		S	sg n
    	koli	koli	0		S	sg p
    	koli	koli	0		V	o
    	£Koli	Koli	0		H	sg g
Andres	@Andres	Andres	0		H	sg n
      	Andre	Andre	s		H	sg in
olli	####	####				
    	#oli	ole	i		V	s
wolgo	####	####				
     	#võlgu	võlgu	0		D	
jänud	####	####				
     	#jäänud	jää	nud		V	nud
kewwadest	####	####				
         	#kevadist	kevadine	t		A	sg p
renti	rent	rent	0		S	adt
     	@renti	rent	0		S	sg p
11	11	11	0		N	?
Rub	Rub	Rub			H	?
   	£rub	rub	0		Y	?
24	24	24	0		N	?
Kopp	kopp	kopp	0		S	sg n
    	£kopp	kopp	0		Y	?
.	.	.			Z	
?	?	?			Z	
süggisene	####	####				
         	#sügisene	sügisene	0		A	sg n
Rent	rent	rent	0		S	sg n
24	24	24	0		N	?
R 24	R24	R24	0		Y	?
    	£R_24	R_24	0		N	?
Kopp	kopp	kopp	0		S	sg n
    	£kopp	kopp	0		Y	?
.	.	.			Z	
M. Aspe	####	####				
       	#M_._Aspe	M_._Aspe	0		H	sg n
temma	####	####				
     	tema	tema	0		P	sg g
     	#tema	tema	0		P	sg n
käinud	käi=nud	käi=nud	0		A	
      	käi=nud	käi=nud	0		A	sg n
      	käi=nud	käi=nud	d		A	pl n
      	käinu	käinu	d		S	pl n
      	@käinud	käi	nud		V	nud
lubbas	####	####				
      	#lubas	luba	s		V	s
et	et	et	0		J	
12	12	12	0		N	?
januar	####	####				
      	#jaanuar	jaanuar	0		S	sg n
peab	peab	pida	b		V	b
sama	sama	sama	0		P	sg g
    	sama	sama	0		P	sg n
    	sama	sama	0		P	sg p
    	£saama	saa	ma		V	ma
wähhemaks	####	####				
         	#vähemaks	vähem	ks		C	sg tr
makstud	maks=tud	maks=tud	0		A	
       	maks=tud	maks=tud	0		A	sg n
       	maks=tu	maks=tu	d		S	pl n
       	maks=tud	maks=tud	d		A	pl n
       	@makstud	maks	tud		V	tud
ja	ja	ja	0		J	
kewwade	####	####				
       	#kevade	kevad	0		S	sg g
marts	####	####				
     	#märts	märts	0		S	sg n
kuus	kuus	kuus	0		N	sg n
    	@kuus	kuu	s		S	sg in
pool	pool	pool	0		K	
    	@pool	pool	0		N	sg n
    	pool	pool	0		S	sg n
makstud	maks=tud	maks=tud	0		A	
       	maks=tud	maks=tud	0		A	sg n
       	maks=tu	maks=tu	d		S	pl n
       	maks=tud	maks=tud	d		A	pl n
       	@makstud	maks	tud		V	tud
ollema	####	####				
      	#olema	ole	ma		V	ma
.	.	.			Z	
-	-	-			Z	
2.	2.	2.	0		O	?
Kerra	kera	kera	0		S	adt
     	kerra	kerra	0		D	
     	£Kerra	Kerra	0		H	sg g
Jaan	@Jaan	Jaan	0		H	sg n
    	jaan	jaan	0		S	sg n
    	jaan	jaan	0		Y	?
olli	####	####				
    	#oli	ole	i		V	s
kewwadine	####	####				
         	#kevadine	kevadine	0		A	sg n
rent	rent	rent	0		S	sg n
8	8	8	0		N	?
rub	####	####				
   	rubl	rubl	0		Y	?
   	#rub	rub	0		Y	?
57	57	57	0		N	?
kop	kop	kop	0		Y	?
   	£kop	kop	0		Y	?
wõlo	####	####				
    	#võlgu	võlgu	0		D	
ja	ja	ja	0		J	
suggisene	####	####				
         	#sügisene	sügisene	0		A	sg n
18	18	18	0		N	?
rubl	####	####				
    	#rubl	rubl	0		Y	?
50	50	50	0		N	?
kopp	kopp	kopp	0		S	sg n
    	£kopp	kopp	0		Y	?
.	.	.			Z	
Kohhus	####	####				
      	kohus	kohu	s		V	s
      	#kohus	kohus	0		S	sg n
mõistis	mõistis	mõist	is		V	s
er	####	####				
  	#et	et	0		J	
aeg	aeg	aeg	0		S	sg n
waene	@vaene	vaene	0		A	sg n
     	vaene	vaene	0		S	sg n
     	vaen	vaen	e		S	pl p
peab	peab	pida	b		V	b
kahhe	####	####				
     	kahe	kahe	0		N	sg g
     	£kahe	kaks	0		N	sg g
kuu	@kuu	kuu	0		S	sg g
   	kuu	kuu	0		S	sg n
pärrast	####	####				
       	pärast	pära	st		S	sg el
       	pärast	pärane	t		A	sg p
       	pärast	pärast	0		D	
       	#pärast	pärast	0		K	
makstud	maks=tud	maks=tud	0		A	
       	maks=tud	maks=tud	0		A	sg n
       	maks=tu	maks=tu	d		S	pl n
       	maks=tud	maks=tud	d		A	pl n
       	@makstud	maks	tud		V	tud
ollema	####	####				
      	#olema	ole	ma		V	ma
.	.	.			Z	
-	-	-			Z	
3.	3.	3.	0		O	?
Liwa	####	####				
    	#Liiva	Liwa	0		H	sg g
Andres	@Andres	Andres	0		H	sg n
      	Andre	Andre	s		H	sg in
peab	peab	pida	b		V	b
omma	####	####				
    	#oma	oma	0		P	sg g
    	on	ole	0		V	vad
kahhekordne	####	####				
           	#kahekordne	kaks_kordne	0		A	sg n
rent	rent	rent	0		S	sg n
kahhe	####	####				
     	kahe	kahe	0		N	sg g
     	#kahe	kaks	0		S	sg g
kupärrast	####	####				
         	#kuu_pärast	kuu_pärast	0		K	
ärramaksma	####	####				
          	#ära_maksma	ära_maks	ma		V	ma
.	.	.			Z	
-	-	-			Z	
4	4	4	0		N	?
,	,	,			Z	
Paiso	####	####				
     	#Paisu	Paiso	0		H	sg g
Ain	Ain	Ain	0		H	sg n
nisammoti	####	####				
         	#niisamuti	nii_samuti	0		D	
omma	####	####				
    	#oma	oma	0		P	sg g
    	on	ole	0		V	vad
kahhekordne	####	####				
           	#kahekordne	kaks_kordne	0		A	sg n
rent	rent	rent	0		S	sg n
kahhe	####	####				
     	kahe	kahe	0		N	sg g
     	#kahe	kaks	0		S	sg g
kupärrasy	####	####				
         	#kuu_pärast	kuu_pärast	0		K	
ärramaksma	####	####				
          	#ära_maksma	ära_maks	ma		V	ma
.	.	.			Z	
-	-	-			Z	
5.	5.	5.	0		O	?
Reino	####	####				
     	#Reinu	Reino	0		H	sg g
Juhhani	####	####				
       	#Juhani	Juhhan	0		H	sg g
käemees	käemees	käe_mees	0		S	sg n
Peet	@Peet	Peet	0		H	sg n
    	peet	peet	0		S	sg n
Popp	popp	popp	0		A	sg n
    	popp	popp	0		S	sg n
    	£Popp	Popp	0		H	sg n
sai	@sai	saa	i		V	s
   	sai	sai	0		S	sg n
kahho	####	####				
     	#kahe	kaks	0		N	sg g
kuu	@kuu	kuu	0		S	sg g
   	kuu	kuu	0		S	sg n
peale	peale	peale	0		D	
     	@peale	peale	0		K	
