1	1	1	0		N	?
,	,	,			Z	
Wenne	####	####				
     	#vene	vene	0		G	
Preestri	preestri	preester	0		S	sg g
Johannes	@Johannes	Johannes	0		H	sg n
        	Johann	Johann	es		H	pl in
Lebedewi	Lebedev	Lebedev	0		H	adt
        	@Lebedevi	Lebedev	0		H	sg g
        	Lebedev	Lebedev	0		H	sg p
tahtmisse	tahtmine	tahtmine	se		S	adt
         	£tahtmise	tahtmine	0		S	sg g
perra	####	####				
     	perra	perra	0		D	
     	#perra	perra	0		K	
,	,	,			Z	
et	et	et	0		J	
Kidijerwe	####	####				
         	#Kiidjärve	Kidijerwe	0		H	sg g
õige	@õige	õige	0		A	sg g
    	õige	õige	0		A	sg n
    	õige	õige	0		D	
ehk	ehk	ehk	0		D	
   	@ehk	ehk	0		J	
wenne	####	####				
     	#vene	vene	0		G	
ussu	####	####				
    	#usku	usk	0		S	sg p
Koolmeistri	koolmeistri	kool_meister	0		S	sg g
Johann	Johann	Johann	0		H	sg n
Numa	####	####				
    	#Numa	Numa	0		H	sg g
käest	@käest	käest	0		K	
     	käsi	käsi	st		S	sg el
pärahha	####	####				
       	#pearaha	pea_raha	0		S	sg p
nõudas	####	####				
      	#nõutakse	nõud	das		V	takse
,	,	,			Z	
om	####	####				
  	#on	ole	0		V	b
sel	@sel	see	l		P	sg ad
   	sel	sel	0		Y	?
koggokonna	####	####				
          	#kogukonna	kogukond	0		S	sg g
kohtul	kohtul	kohus	l		S	sg ad
lühhidelt	####	####				
         	#lühidalt	lühidalt	0		D	
wastuda	####	####				
       	#vastata	vasta	da		V	da
,	,	,			Z	
et	et	et	0		J	
Kidijerwe	####	####				
         	#Kiidjärve	Kidijerwe	0		H	sg g
wallan	####	####				
      	#vallas	vald	n		S	sg in
wäega	vägi	vägi	ga		S	sg kom
     	£väga	väga	0		D	
weidi	veidi	veidi	0		D	
wenne	####	####				
     	#vene	vene	0		G	
ussu	####	####				
    	#usku	usk	0		S	sg p
rahwast	rahvas	rahvas	st		S	sg el
       	@rahvast	rahvas	t		S	sg p
om	####	####				
  	#on	ole	0		V	b
,	,	,			Z	
kes	kes	kes	0		P	pl n
   	@kes	kes	0		P	sg n
mitte	mitte	mitte	0		D	
ei	ei	ei	0		D	
  	@ei	ei	0		V	neg
jõwwa	####	####				
     	#jõua	jõud	0		V	o
ütsinda	####	####				
       	#üksinda	üksinda	0		D	
Wenne	####	####				
     	#vene	vene	0		G	
Koolmeistre	####	####				
           	#koolmeistri	kool_meister	0		S	sg g
pärahha	####	####				
       	#pearaha	pea_raha	0		S	sg p
massa	####	####				
     	maksa	maks	0		V	o
     	#maksta	maks	a		V	da
ja	ja	ja	0		J	
Wenne	####	####				
     	#vene	vene	0		G	
Koolmeistre	####	####				
           	#koolmeister	kool_meister	0		S	sg n
Johan	Johan	Johann	0		H	sg n
Numa	####	####				
    	#Numa	Numa	0		H	sg n
ei	ei	ei	0		D	
  	@ei	ei	0		V	neg
olle	####	####				
    	#ole	ole	0		V	o
ütsinda	####	####				
       	#üksinda	üksinda	0		D	
Kidijerwe	####	####				
         	#Kiidjärve	Kidijerwe	0		H	sg g
walla	vald	vald	0		S	sg g
     	valla	valla	0		D	
     	@valla	vald	0		S	sg g
lastele	lastele	laps	tele		S	pl all
Koolmeistres	####	####				
            	#koolmeistriks	koolmeister	s		S	sg tr
enge	####	####				
    	#vaid	enge	0		J	
ka	ka	ka	0		D	
pole	ole	ole	0		V	neg o
    	£poole	pool	0		N	sg g
Ahja	@Ahja	Ahja	0		H	sg g
    	Ahja	Ahja	0		H	sg n
nink	####	####				
    	#ning	ning	0		J	
Wastse	@vastse	vastne	0		A	sg g
      	vastne	vastne	0		S	sg g
Kuste	####	####				
     	#Kuuste	Kuste	0		H	sg g
wallale	vallale	vald	le		S	sg all
mes	####	####				
   	mis	mis	0		P	pl n
   	#mis	mis	0		P	sg n
perrast	####	####				
       	pärast	pärast	0		K	
       	#pärast	pärast	0		D	
ne	####	####				
  	#need	see	0		P	pl n
ka	ka	ka	0		D	
sis	####	####				
   	#siis	siis	0		D	
   	siis	siis	0		J	
Wenne	####	####				
     	#vene	vene	0		G	
Koolmeistri	koolmeistri	kool_meister	0		S	sg g
pärahha	####	####				
       	#pearaha	pea_raha	0		S	sg g
massmisse	mass_miss	mass_miss	e		S	pl p
         	£maksmise	maksmine	0		S	sg g
abbis	####	####				
     	#abiks	abi	s		S	sg tr
middaki	####	####				
       	#midagi	miski	dagi		P	sg p
ei	ei	ei	0		D	
  	@ei	ei	0		V	neg
tahha	####	####				
     	taha	taha	0		K	
     	taha	taha	0		D	
     	#taha	taht	0		V	o
tetta	####	####				
     	#teha	tege	tta		V	da
.	.	.			Z	
Kas	kas	kas	0		D	
sedda	####	####				
     	#seda	see	da		P	sg p
kül	####	####				
   	#küll	küll	0		D	
ei	ei	ei	0		D	
  	@ei	ei	0		V	neg
olle	####	####				
    	#ole	ole	0		V	o
,	,	,			Z	
et	et	et	0		J	
Kidijerwe	####	####				
         	#Kiidjärve	Kidijerwe	0		H	sg n
omma	####	####				
    	#oma	oma	0		P	sg g
    	on	ole	0		V	vad
wäikesse	väikene	väikene	se		A	adt
        	väike	väike	se		A	adt
        	£väikse	väike	0		A	sg g
walla	vald	vald	0		S	sg g
     	valla	valla	0		D	
     	@valla	vald	0		S	sg g
päle	####	####				
    	#peale	peale	0		K	
    	peale	peale	0		D	
wenne	####	####				
     	#vene	vene	0		G	
Koolmeistrist	koolmeistrist	kool_meister	st		S	sg el
nekrudi	####	####				
       	#nekrutit	nekrut	0		S	sg p
losimisest	####	####				
          	¤					
pri	####	####				
   	#prii	prii	0		A	sg n
hoijap	####	####				
      	#hoiab	hoid	p		V	b
.	.	.			Z	
