Tulli	tull	tull	0		S	adt
     	tull	tull	0		S	sg g
     	tull	tull	0		S	sg p
     	@tuli	tule	i		V	s
     	tuli	tuli	0		S	sg n
selle	@selle	see	0		P	sg g
     	sell	sell	e		S	pl p
kohto	####	####				
     	kohtu	kohtu	0		V	o
     	#kohtu	kohus	0		S	sg g
ette	esi	esi	tte		S	adt
    	ette	ette	0		D	
    	@ette	ette	0		K	
Jaan	@Jaan	Jaan	0		H	sg n
    	jaan	jaan	0		S	sg n
    	jaan	jaan	0		Y	?
Paddar	####	####				
      	#Padar	Paddar	0		H	sg n
nink	####	####				
    	#ning	ning	0		J	
palleb	####	####				
      	#palub	palu	b		V	b
Perrismapiddajad	####	####				
                	#pärismaapidajat	päris_maa_pidaja	d		S	sg p
Friedrich	Friedrich	Friedrich	0		H	sg n
Tarraskit	####	####				
         	#Taraskit	Tarrask	t		H	sg p
ke	####	####				
  	#kes	kes	0		P	sg n
Moisa	####	####				
     	#mõisa	mõis	0		S	sg g
     	mõisa	mõis	0		S	adt
     	mõisa	mõis	0		S	sg p
asja	asi	asi	0		S	adt
    	@asja	asi	0		S	sg g
    	asi	asi	0		S	sg p
perrast	####	####				
       	#pärast	pärast	0		K	
       	pärast	pärast	0		D	
siin	@siin	siin	0		D	
    	siin	siin	0		S	sg n
kohtu	kohtu	kohtu	0		V	o
     	@kohtu	kohus	0		S	sg g
man	man	man	0		D	
   	@man	man	0		K	
olli	####	####				
    	#oli	ole	i		V	s
,	,	,			Z	
andke	andke	and	ke		V	ge
minnole	####	####				
       	#minule	mina	le		P	sg all
andis	and	and	is		V	s
     	£andeks	andeks	0		X	
et	et	et	0		J	
minna	mine	mine	a		V	da
     	£mina	mina	0		P	sg n
teije	####	####				
     	#teie	sina	0		P	pl g
mand	####	####				
    	#mant	mant	0		K	
ärra	####	####				
    	#ära	ära	0		D	
    	ära	ära	0		V	neg o
lätsin	lätsi	lätsi	n		V	n
      	£läksin	mine	tsin		V	sin
enne	enne	enne	0		D	
    	@enne	enne	0		K	
    	enne	enne	0		S	sg n
minno	####	####				
     	mind	mina	0		P	sg p
     	#minu	mina	0		P	sg g
leppitut	####	####				
        	#lepitud	leppi	tut		V	tud
tenistusse	####	####				
